url,status,in_sitemap,title,title_length,description,description_length,h1,canonical,robots,schema_types,og_image,ga4,gtm,words
https://metapacific.co/,200,True,Meta Pacific,12,"We shoot the property, build the walkthrough, and wire the page that turns viewers into leads.",94,A place should sell before anyone has to fly in.,https://metapacific.co/,,"Organization, Person, PostalAddress, WebSite",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,1023
https://metapacific.co/404.html,200,False,Page not found | Meta Pacific,29,"That page is not here. The work, the services, and the studio are one link away.",80,That page is not here.,,"noindex, follow",,,G-DJQ0V48YK2,,92
https://metapacific.co/about.html,200,False,About | Meta Pacific,20,,0,,https://metapacific.co/about/,,,,,,10
https://metapacific.co/about/,200,True,About | Meta Pacific,20,"Christobal Grego founded Meta Pacific in Bali in 2020. A real estate media studio: film, FPV, tours, and the page a buyer can use.",130,Run from Bali.,https://metapacific.co/about/,,"Organization, Person",https://metapacific.co/og-image-about.png,G-DJQ0V48YK2,,595
https://metapacific.co/contact.html,200,False,Contact | Meta Pacific,22,,0,,https://metapacific.co/contact/,,,,,,10
https://metapacific.co/contact/,200,True,Contact | Meta Pacific,22,"We reply from Bali, usually within a day. Bring the project, the timeline, and what's stopping people from saying yes to it.",124,Send the project. Tell us what is blocking the yes.,https://metapacific.co/contact/,,"Person, PostalAddress, ProfessionalService",https://metapacific.co/og-image-contact.png,G-DJQ0V48YK2,,385
https://metapacific.co/disclosure.html,200,False,Disclosure | Meta Pacific,25,,0,,https://metapacific.co/disclosure/,,,,,,10
https://metapacific.co/disclosure/,200,True,Disclosure | Meta Pacific,25,How Work and Field Notes are separated on this site.,52,How to read the work on this site.,https://metapacific.co/disclosure/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,306
https://metapacific.co/field-notes/,200,True,Field Notes | Meta Pacific,26,"Notes from Meta Pacific production: virtual tours, FPV, and AI used as a tool, not a slogan.",92,"Notes from the work, not around it.",https://metapacific.co/field-notes/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,288
https://metapacific.co/field-notes/ai-effects-vs-traditional-vfx/,200,True,AI effects vs. traditional VFX | Field Notes | Meta Pacific,59,Generation is a production tool. It does not replace the eye that decides what ships.,85,AI effects vs. traditional VFX,https://metapacific.co/field-notes/ai-effects-vs-traditional-vfx/,,"Article, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,467
https://metapacific.co/field-notes/fpv-vs-traditional-drone/,200,True,FPV vs. traditional drone | Field Notes | Meta Pacific,54,One is for establishing the site. The other is for moving through it. Most launches need both.,94,FPV vs. traditional drone for property marketing,https://metapacific.co/field-notes/fpv-vs-traditional-drone/,,"Article, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,478
https://metapacific.co/field-notes/virtual-tours-before-a-visit/,200,True,Virtual tours before a visit | Field Notes | Meta Pacific,57,"What buyers actually need to see before they book a flight, and what a flat photo set leaves out.",97,How virtual tours help sell villas before a physical visit,https://metapacific.co/field-notes/virtual-tours-before-a-visit/,,"Article, Organization",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,492
https://metapacific.co/for-whom/,200,True,For whom | Meta Pacific,23,"Who Meta Pacific is for: developers and operators, hospitality, lifestyle brands, founders, and businesses that need a working pipeline.",136,Start from who has the problem.,https://metapacific.co/for-whom/,,"CollectionPage, WebSite",https://metapacific.co/og-image-solutions.png,G-DJQ0V48YK2,,407
https://metapacific.co/for-whom/enterprise/,200,True,Developers and operators | Meta Pacific,39,"FPV, virtual tours, film, and the page that takes the lead. One studio for Bali developers and operators running overlapping launches.",134,Keep every launch moving without losing the look.,https://metapacific.co/for-whom/enterprise/,,"Answer, BreadcrumbList, FAQPage, ListItem, Question",https://metapacific.co/og-image-solutions.png,G-DJQ0V48YK2,,1406
https://metapacific.co/index.html,200,False,Meta Pacific,12,"We shoot the property, build the walkthrough, and wire the page that turns viewers into leads.",94,A place should sell before anyone has to fly in.,https://metapacific.co/,,"Organization, Person, PostalAddress, WebSite",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,1023
https://metapacific.co/insights.html,200,False,Field Notes | Meta Pacific,26,,0,,https://metapacific.co/field-notes/,,,,,,11
https://metapacific.co/preview/,200,False,Editorial layout preview | Meta Pacific,39,Local design preview of the editorial homepage layout with a work slider. Not linked from the live site.,104,A place should sell before anyone has to fly in.,https://metapacific.co/preview/,"noindex, nofollow",,,,,382
https://metapacific.co/pricing/,200,True,Pricing | Meta Pacific,22,"One published launch price. Everything else scoped after a brief. No fake discounts, no invented monthly numbers.",113,Clear about what is fixed. Honest about what is custom.,https://metapacific.co/pricing/,,"BreadcrumbList, ListItem",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,481
https://metapacific.co/privacy.html,200,False,Privacy | Meta Pacific,22,,0,,https://metapacific.co/privacy/,,,,,,10
https://metapacific.co/privacy/,200,True,Privacy | Meta Pacific,22,How Meta Pacific handles information sent through this site.,60,What happens to your information here.,https://metapacific.co/privacy/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,371
https://metapacific.co/resources/,200,True,Resources | Meta Pacific,24,"Field notes from production, selected customer stories, and a working scope estimator. No filler, no manufactured stats.",120,"Notes from production, real projects, one working tool.",https://metapacific.co/resources/,,"BreadcrumbList, ListItem",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,406
https://metapacific.co/services.html,200,False,Services | Meta Pacific,23,,0,,https://metapacific.co/services/,,,,,,10
https://metapacific.co/services/,200,True,Services | Meta Pacific,23,"Strategy, FPV, virtual tours, film, and the pages that turn viewers into leads. Scoped work from Meta Pacific in Bali.",118,"Scoped work, not a generic retainer.",https://metapacific.co/services/,,,https://metapacific.co/og-image.png,G-DJQ0V48YK2,,487
https://metapacific.co/services/ai-media/,200,True,AI video and generative media | Services | Meta Pacific,55,"Generation used to move iteration faster. Art direction, references, and quality control stay mandatory.",104,AI video and generative media,https://metapacific.co/services/ai-media/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,451
https://metapacific.co/services/brand-design/,200,True,Brand and design | Services | Meta Pacific,42,"Direction, graphic systems, and templates so the film, the tour, and the page look like one studio made them.",109,Brand and design,https://metapacific.co/services/brand-design/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,445
https://metapacific.co/services/creative-tech/,200,True,Bespoke creative-tech | Services | Meta Pacific,47,"Internal tools, automations, and one-off digital experiences when the off-the-shelf path is the bottleneck.",107,Bespoke creative-tech,https://metapacific.co/services/creative-tech/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,435
https://metapacific.co/services/drone-fpv/,200,True,Drone and FPV | Services | Meta Pacific,39,"Aerial establishing shots and FPV walkthroughs used to make terrain, access, and space readable.",96,Drone and FPV,https://metapacific.co/services/drone-fpv/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,536
https://metapacific.co/services/growth/,200,True,Growth systems | Services | Meta Pacific,40,"Landing experiments, CRM, tracking, and the smallest funnel that turns viewers into a named lead.",97,Marketing execution and growth experiments,https://metapacific.co/services/growth/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,451
https://metapacific.co/services/social-content/,200,True,Social media and content systems | Services | Meta Pacific,58,"Pillars, formats, and a production rhythm so the work keeps showing up after the launch film.",93,Social media and content systems,https://metapacific.co/services/social-content/,,"Answer, FAQPage, Organization, Question, Service",https://metapacific.co/og-image.png,G-DJQ0V48YK2,,494
